Class,Accuracy,DSC,Sensitivity,Specificity,IoU,SMeasure,EMeasure,MAE,HD95↓,BDice↑,BPrec↑,BRecall↑,BF1↑
Background,0.9958,0.9978,0.9969,0.8998,0.9957,0.9166,0.9466,0.0042,N/A,N/A,N/A,N/A,N/A
NCR/NET,0.9990,0.6642,0.7714,0.9995,0.5816,0.8515,0.8345,0.0010,3.9169,0.4826,0.8013,0.7972,0.7808
ED,0.9956,0.7157,0.7823,0.9970,0.5989,0.8149,0.9028,0.0044,7.2854,0.3443,0.8533,0.8359,0.8314
ET,0.9979,0.7743,0.8270,0.9988,0.6757,0.8744,0.9163,0.0021,3.9821,0.4625,0.8807,0.9039,0.8839
Foreground Mean,0.9975,0.7181,0.7935,0.9984,0.6187,0.8469,0.8845,0.0025,5.0615,0.4298,0.8451,0.8456,0.8320
