Class,Accuracy,DSC,Sensitivity,Specificity,IoU,SMeasure,EMeasure,MAE,HD95↓,BDice↑,BPrec↑,BRecall↑,BF1↑
Background,0.9963,0.9981,0.9983,0.8638,0.9962,0.9219,0.9484,0.0037,N/A,N/A,N/A,N/A,N/A
NCR/NET,0.9988,0.6805,0.7078,0.9996,0.6036,0.8418,0.8380,0.0012,5.0295,0.4812,0.7977,0.7629,0.7619
ED,0.9959,0.7288,0.7412,0.9982,0.6209,0.8271,0.9129,0.0041,10.5686,0.3661,0.8324,0.8088,0.8073
ET,0.9981,0.7973,0.8677,0.9988,0.7121,0.8892,0.9199,0.0019,3.9033,0.4586,0.8803,0.8839,0.8737
Foreground Mean,0.9976,0.7355,0.7722,0.9989,0.6456,0.8527,0.8903,0.0024,6.5005,0.4353,0.8368,0.8186,0.8143
